experiment,component_name,component_index,original_features,reduced_features,mass_preserved_pct,feature_reduction_ratio
experiment_1,Pinene,0,131072,1250,81.17294052417093,0.0095367431640625
experiment_1,Benzyl benzoate,1,131072,1250,93.88447683065742,0.0095367431640625
experiment_2,Pinene,0,55903,1250,81.42018211672192,0.022360159562098636
experiment_2,Limonene,1,55903,1250,71.15120258173732,0.022360159562098636
experiment_6,Pinene,0,70340,1250,81.35114186032804,0.0177708274097242
experiment_6,Benzyl benzoate,1,70340,1250,94.10525900949274,0.0177708274097242
experiment_7,Benzyl benzoate,0,131072,1250,93.88447683065742,0.0095367431640625
experiment_7,m Anisaldehyde,1,131072,1250,93.03090866170207,0.0095367431640625
experiment_8,Benzyl benzoate,0,139577,1250,78.54445528537758,0.008955630225610236
experiment_8,m Anisaldehyde,1,139577,1250,88.2489424369495,0.008955630225610236
experiment_3,Isopropyl myristate,0,12449,625,75.34506721729825,0.05020483572977749
experiment_3,Benzyl benzoate,1,12449,625,73.6310846166984,0.05020483572977749
experiment_3,Alpha pinene,2,12449,625,57.62145366324158,0.05020483572977749
experiment_3,Limonene,3,12449,625,68.69837541728855,0.05020483572977749
experiment_5,Lactate,0,54259,500,85.79004085940073,0.009215061095855065
experiment_5,Alanine,1,54259,500,84.4891457035623,0.009215061095855065
experiment_5,Creatine,2,54259,500,93.52273835822268,0.009215061095855065
experiment_5,Creatinine,3,54259,500,93.85153178250634,0.009215061095855065
experiment_5,Choline chloride,4,54259,500,81.32856843740625,0.009215061095855065
experiment_4,Lactate,0,27129,500,94.97743669691623,0.018430461867374397
experiment_4,Alanine,1,27129,500,94.11043969428181,0.018430461867374397
experiment_4,Creatine,2,27129,500,95.626861217896,0.018430461867374397
experiment_4,Creatinine,3,27129,500,95.05013198140311,0.018430461867374397
experiment_4,Choline chloride,4,27129,500,93.91658356249388,0.018430461867374397
experiment_9,Lactate,0,27129,500,94.97743669691623,0.018430461867374397
experiment_9,Alanine,1,27129,500,94.11043969428181,0.018430461867374397
experiment_9,Creatine,2,27129,500,95.626861217896,0.018430461867374397
experiment_9,Creatinine,3,27129,500,95.05013198140311,0.018430461867374397
experiment_9,Choline chloride,4,27129,500,93.91658356249388,0.018430461867374397
experiment_10,Leucine,0,8884,833,60.35463321133325,0.09376407023863124
experiment_10,Isoleucine,1,8884,833,59.196050430593274,0.09376407023863124
experiment_10,Valine,2,8884,833,73.07722833345446,0.09376407023863124
experiment_11,Leucine,0,8885,833,60.3541671421982,0.09375351716375914
experiment_11,Isoleucine,1,8885,833,59.19567757069856,0.09375351716375914
experiment_11,Valine,2,8885,833,73.07710256197694,0.09375351716375914
